상호명,시군구명,위도,경도,is_starbucks,projected_cluster
신월IC DT,양천구,37.52950244,126.8322023,1,4
목동7단지,양천구,37.528012,126.87053,1,4
목동5단지,양천구,37.53638564,126.8821175,1,4
목동,양천구,37.53638383,126.8785597,1,4
현대목동,양천구,37.52662717,126.8749407,1,1
목동SBS,양천구,37.52896162,126.8736301,1,4
목동트라팰리스,양천구,37.5255,126.8702,1,1
목동10단지,양천구,37.51542562,126.8596031,1,4
신월동DT,양천구,37.53829235,126.8271014,1,4
타임스퀘어R,영등포구,37.51809815,126.905307,1,1
샛강역,영등포구,37.51832551,126.9311172,1,0
영등포역,영등포구,37.51702,126.909191,1,1
당산대로,영등포구,37.533121,126.903804,1,2
여의도IFC몰(L1)R,영등포구,37.52538632,126.9260652,1,0
여의도KBS R,영등포구,37.526596,126.918456,1,0
국회대로,영등포구,37.53026,126.919549,1,0
영등포KT,영등포구,37.526419,126.905314,1,2
여의도공원R,영등포구,37.52912953,126.9253573,1,0
국회의사당역,영등포구,37.5280541,126.9171195,1,0
여의도역R,영등포구,37.523328,126.923439,1,0
선유동이레빌딩,영등포구,37.53427768,126.8969763,1,4
동여의도,영등포구,37.52063016,126.9316864,1,0
여의도ABL타워,영등포구,37.51891607,126.9280116,1,0
영등포신길,영등포구,37.504566,126.910073,1,2
문래역,영등포구,37.517446,126.895258,1,2
당산,영등포구,37.53510012,126.8999254,1,1
여의도한양증권,영등포구,37.52239462,126.9291395,1,0
여의도일신,영등포구,37.52774993,126.9202762,1,0
하이테크시티,영등포구,37.51445587,126.8998794,1,4
여의도,영등포구,37.52408577,126.924726,1,0
롯데캐슬여의도,영등포구,37.52025214,126.9263678,1,0
문래동,영등포구,37.519602,126.889652,1,2
여의도호성,영등포구,37.52047778,126.9292064,1,0
타임스퀘어B2,영등포구,37.5176752,126.9031725,1,1
